feature_name,importance
follower,9.20848755517491
uid,6.8927889017595065
fcn_feature7,2.185850601203324
totalviews,1.624851733965994
fcn_feature61,1.490718474195741
fcn_feature92,1.4122182720031764
fcn_feature81,1.2685453635310024
totaltags,1.182336484070806
fcn_feature239,1.1509529093972626
fcn_feature131,1.126577992384307
fcn_feature68,1.0696249872189112
fcn_feature194,1.009744003898066
fcn_feature195,0.9685366891877676
fcn_feature340,0.9537015676752273
totalInGroup,0.8786909693599085
fcn_feature224,0.8128825820958473
fcn_feature293,0.7281711833595282
fcn_feature148,0.6489186871273964
fcn_feature163,0.6401148092547461
fcn_feature242,0.5889697001734369
Concept,0.5420636214917628
fcn_feature56,0.5347037693165233
fcn_feature121,0.5256590338202836
fcn_feature96,0.511314740439322
fcn_feature203,0.50424707536646
fcn_feature225,0.4929135695392476
fcn_feature164,0.4749500717070219
fcn_feature2,0.4679793390367871
fcn_feature62,0.4656217574965179
fcn_feature149,0.46526022304724657
fcn_feature144,0.4645991689895819
fcn_feature70,0.43860120878345454
following,0.3464605581303474
fcn_feature4,0.33902085661301595
fcn_feature192,0.33755607864853177
fcn_feature355,0.3330574668348079
fcn_feature243,0.3248645329142452
fcn_feature63,0.32080963857680383
Postdate_mon,0.3191430251840153
fcn_feature320,0.3164160483704732
fcn_feature126,0.31294600818677676
totalGeotagged,0.28082425746916556
fcn_feature326,0.2543454103620897
fcn_feature337,0.25352668113069277
fcn_feature344,0.24813424999841172
fcn_feature330,0.24044047244931188
fcn_feature186,0.21796230161317132
fcn_feature173,0.21059102015736153
fcn_feature213,0.21002738584387498
fcn_feature180,0.20273331305595843
fcn_feature191,0.20037988271311885
fcn_feature321,0.19745163314689662
fcn_feature306,0.1857678542585068
alltags_wordcount,0.18384739457162835
uid_130,0.1684757219196741
totalfaves,0.16591216256245817
fcn_feature339,0.15747673887909241
fcn_feature47,0.15191760169862167
fcn_feature207,0.1503164696687339
fcn_feature258,0.1483350853668766
fcn_feature236,0.14701933511082999
fcn_feature78,0.1437542361141681
fcn_feature295,0.1431524799454151
fcn_feature141,0.1326575442134035
fcn_feature108,0.13204782333843712
fcn_feature135,0.12690652904806143
fcn_feature51,0.12643030629083654
fcn_feature209,0.12527859010419848
fcn_feature170,0.12332386857439126
fcn_feature332,0.12108050768917572
fcn_feature214,0.11775628616400757
fcn_feature259,0.11567454632625049
Postdate_year,0.11088659470255006
fcn_feature69,0.10888559096052768
fcn_feature353,0.10691781877927323
fcn_feature290,0.10536440789921943
fcn_feature210,0.10461245890654138
fcn_feature66,0.10168394645199551
Concept_feature5,0.10065560889220457
fcn_feature235,0.09878314709763367
uid_247,0.09641182901090971
uid_56,0.09600270118117253
fcn_feature260,0.09543435480476788
uid_206,0.0951791278671292
fcn_feature270,0.09240341473493466
uid_76,0.08895341435755218
fcn_feature254,0.08803189421254648
uid_31,0.08701187965090248
fcn_feature271,0.0856653694428079
fcn_feature1,0.08491595920752262
fcn_feature26,0.08463840597871009
fcn_feature155,0.08430816582935889
fcn_feature133,0.08315001924926987
fcn_feature80,0.08277731183553606
fcn_feature300,0.08233354139363422
uid_79,0.08162585833455817
fcn_feature274,0.08018169672668794
uid_29,0.07938128649169325
fcn_feature154,0.07911600021188538
tags694,0.0789600939373601
fcn_feature37,0.07837505369021619
fcn_feature281,0.07765517289341103
fcn_feature231,0.07732447077768752
fcn_feature71,0.07592611228970401
Postdate_mday,0.07557745071063406
uid_27,0.0754280600693845
uid_132,0.07503091394835301
title_charcount,0.07435939348178926
uid_312,0.07389639792537499
Concept_feature1,0.07311491760287571
fcn_feature12,0.07251125869168287
fcn_feature253,0.07162923353625307
fcn_feature238,0.06933960009722138
fcn_feature32,0.0690082859370726
fcn_feature113,0.06841986163862851
alltags_charcount,0.0664405356170426
Concept_feature15,0.0662008989868092
Postdate_hour,0.06460906769972945
fcn_feature10,0.06445380237415721
Pathalias_feature12,0.06277433834240863
fcn_feature138,0.0626789606992242
fcn_feature336,0.062299978250745944
Concept_feature7,0.06130917179709674
uid_50,0.059504534749187946
fcn_feature268,0.05843700307811679
uid_45,0.05776143893234406
Concept_feature45,0.05673749594256194
fcn_feature174,0.05631022955222907
uid_94,0.05540383706592915
uid_16,0.05525580987374389
fcn_feature166,0.054821526834093734
fcn_feature196,0.05436159984098815
uid_9,0.0540291788429799
uid_158,0.05400392637455954
fcn_feature145,0.05370650724530303
Category_feature29,0.052579878615485326
fcn_feature137,0.05253289398267817
fcn_feature134,0.05250621107922328
fcn_feature246,0.05247553185133597
fcn_feature9,0.052116796915960606
Subcategory,0.05185116716404411
fcn_feature187,0.05179013085836023
tags_feature_4,0.05154000196846231
uid_287,0.05147270339782555
uid_17,0.05139518823990421
uid_102,0.05132261959328264
fcn_feature348,0.051197486867315095
fcn_feature156,0.050726369916770465
fcn_feature153,0.05016806835584968
Subcategory_feature15,0.050043145999122796
fcn_feature117,0.049862248677573204
tags739,0.04949626781210298
fcn_feature202,0.049040478087188207
title_wordcount,0.0481755612547161
uid_245,0.0481607203794
fcn_feature152,0.04785583150537426
Pathalias_feature17,0.04690772704257827
uid_134,0.04682458323002848
fcn_feature52,0.04681608132023188
Concept_feature42,0.046200676990517116
uid_65,0.04610909256832074
tag_feature48,0.04608162276199989
uid_199,0.0459720156447322
fcn_feature31,0.045797254338505754
Concept_feature3,0.0454960937383044
tags506,0.04539337223405268
uid_43,0.04466518801706278
Concept_feature13,0.04424269464660281
uid_48,0.0441594974941604
fcn_feature250,0.04398185563313407
fcn_feature25,0.043878093286667155
uid_244,0.04340196336898748
uid_198,0.04317395185494766
Category_feature34,0.04297940816461097
tags_feature_133,0.042926593474225484
tags737,0.04289225292009372
Pathalias_feature11,0.042843648144883256
fcn_feature282,0.04242004089521653
uid_155,0.04217933938489296
Pathalias_feature47,0.04195323246863652
fcn_feature160,0.041540413629652696
tags78,0.04142767550376278
uid_55,0.041288579184883246
fcn_feature65,0.041211271504072694
Concept_feature32,0.041159819784454085
uid_64,0.04110395441303256
fcn_feature109,0.041045148288379414
fcn_feature342,0.04067228741598147
uid_82,0.040475610644438796
fcn_feature5,0.040308178089906985
uid_142,0.04006308113090691
Mediatype,0.040029441987140986
fcn_feature104,0.039883323920141385
fcn_feature87,0.03973859313747963
uid_73,0.039606721913729374
fcn_feature67,0.03921565494494641
uid_87,0.039213429348915876
fcn_feature178,0.038405980470184786
fcn_feature265,0.038220229072035275
uid_23,0.038139906995605724
tags_feature_2,0.03812950637287163
Concept_feature41,0.037259678012064534
uid_8,0.03719882497716293
uid_313,0.03716618396994056
glove_tags151,0.037149780669461986
uid_267,0.03689458209868938
uid_383,0.03627322059733719
tags144,0.036061102170846175
tags_feature_218,0.03592316876703788
tags580,0.03575247858823508
uid_101,0.035640013394903275
Concept_feature18,0.03512086561366494
LSA_title2,0.03457055561509764
Concept_feature12,0.03456234335832179
tag_feature145,0.0345458955642192
fcn_feature298,0.03449008953861845
uid_54,0.03435220433471343
Category_feature28,0.034121799242774246
uid_185,0.03407858017668138
tag_feature83,0.033968472516034874
Concept_feature2,0.03393219210116749
fcn_feature304,0.033852605843892804
Concept_feature27,0.033758319495217196
Concept_feature25,0.03375663290432141
uid_168,0.033325703772243344
fcn_feature102,0.03323468074110135
uid_306,0.03300568160037227
uid_301,0.032798554406763394
uid_129,0.03278858066059381
